城市,区域,房屋类型,面积(平方米),房间数,客厅数,卫生间数,楼层,总楼层,建筑年份,房龄(年),朝向,装修情况,总价(元),单价(元/平方米),是否有电梯,是否有车位,是否有学区,挂牌日期
南京,建邺区,别墅,308.4,6,2,3,29,31,1994,30,东北,豪华装修,12594218,40837,有,有,否,2025-11-01
青岛,崂山区,商住两用,134.7,4,1,1,29,31,2003,21,西北,豪华装修,2076174,15413,有,有,是,2025-09-13
南京,雨花台区,公寓,33.3,2,1,1,13,26,2017,7,东南,精装修,802011,24084,有,有,是,2025-03-09
深圳,南山区,别墅,168.9,5,4,3,13,32,2013,11,东南,豪华装修,21974021,130101,有,有,否,2025-05-02
北京,东城区,别墅,396.1,7,4,3,20,32,2007,17,西南,豪华装修,50138558,126581,有,有,是,2025-10-06
重庆,九龙坡区,写字楼,180.0,0,1,3,13,16,2021,3,西,精装修,1509543,8386,有,无,是,2025-10-07
青岛,李沧区,商住两用,105.6,3,2,2,23,24,2009,15,南,精装修,1595460,15109,有,无,是,2025-02-17
长沙,芙蓉区,商住两用,77.5,3,2,3,23,32,2000,24,西南,精装修,797476,10290,有,无,是,2025-10-16
深圳,罗湖区,公寓,71.3,2,1,2,12,28,1998,26,北,简装修,3037086,42596,有,有,是,2025-01-16
西安,未央区,普通住宅,106.2,4,2,2,25,34,2001,23,北,豪华装修,1062388,10004,有,无,否,2025-10-07
成都,锦江区,公寓,44.3,1,1,1,10,26,1995,29,北,精装修,606054,13681,有,有,是,2025-10-25
武汉,武昌区,写字楼,151.1,0,2,1,4,35,2024,0,东南,毛坯,1483589,9819,有,无,是,2025-07-13
天津,和平区,普通住宅,107.9,3,2,1,34,34,2008,16,西北,精装修,2067923,19165,有,有,是,2024-12-02
南京,鼓楼区,写字楼,132.9,0,2,2,30,33,2002,22,北,毛坯,1922956,14469,有,有,否,2025-05-29
广州,白云区,商住两用,149.7,4,2,1,2,19,2005,19,东,简装修,4565205,30496,有,无,否,2025-11-04
大连,中山区,写字楼,131.1,0,2,1,6,28,2009,15,东南,简装修,1312927,10015,有,无,否,2025-05-22
成都,锦江区,公寓,30.6,1,1,2,19,25,2006,18,西北,精装修,447488,14624,有,无,是,2025-07-13
广州,白云区,公寓,33.0,2,1,1,16,28,2001,23,东,毛坯,750764,22750,有,无,否,2025-07-20
郑州,惠济区,写字楼,127.1,0,2,2,3,32,2022,2,西南,简装修,1241288,9766,有,无,是,2025-03-05
成都,金牛区,普通住宅,141.9,4,1,1,3,9,2024,0,东,豪华装修,2953637,20815,有,有,否,2025-03-21
深圳,龙岗区,公寓,75.5,2,1,1,22,23,1991,33,东,精装修,2964930,39271,有,无,是,2025-01-31
南京,栖霞区,写字楼,86.0,0,1,1,16,17,2021,3,东南,毛坯,1684258,19584,有,无,否,2025-02-07
重庆,九龙坡区,别墅,269.7,6,3,2,27,33,2020,4,南,豪华装修,4809780,17834,有,无,是,2025-01-08
上海,虹口区,写字楼,128.3,0,2,2,19,20,2007,17,东南,豪华装修,7514442,58569,有,有,是,2025-02-28
重庆,江北区,普通住宅,136.0,2,1,1,7,17,2020,4,东南,精装修,1676365,12326,有,无,否,2025-07-12
广州,越秀区,普通住宅,110.6,4,1,3,19,23,2018,6,东,精装修,5652693,51109,有,无,是,2025-08-03
广州,荔湾区,别墅,331.2,3,4,4,12,31,2019,5,西,精装修,20125470,60765,有,有,否,2024-12-11
杭州,西湖区,公寓,74.7,1,1,1,18,20,2021,3,东,豪华装修,2984199,39949,有,无,是,2025-04-03
大连,旅顺口区,普通住宅,192.0,2,1,1,31,31,2002,22,西,精装修,2156055,11229,有,无,否,2025-02-01
青岛,城阳区,公寓,51.2,2,1,1,11,22,2019,5,南,豪华装修,1054354,20593,有,无,是,2025-04-09
重庆,江北区,商住两用,93.6,3,2,3,31,35,2023,1,西北,豪华装修,1206082,12885,有,无,否,2025-04-01
杭州,江干区,商住两用,88.1,2,1,1,25,28,2001,23,南,毛坯,2314540,26272,有,无,是,2025-09-16
重庆,江北区,写字楼,122.0,0,1,2,3,24,2000,24,西,精装修,739776,6064,有,有,是,2025-02-13
苏州,工业园区,写字楼,239.4,0,1,2,27,35,2014,10,北,豪华装修,4622093,19307,有,无,否,2025-08-13
大连,中山区,别墅,151.0,3,3,4,17,17,2022,2,西南,毛坯,3128235,20717,有,有,是,2025-08-04
苏州,高新区,别墅,247.4,3,3,4,17,24,2013,11,北,精装修,8669618,35043,有,无,否,2025-02-02
苏州,吴中区,写字楼,188.1,0,1,3,17,20,2019,5,西南,豪华装修,4235304,22516,有,有,是,2025-04-21
武汉,江汉区,商住两用,156.5,4,1,2,33,35,2015,9,东北,精装修,2218042,14173,有,无,否,2025-11-10
郑州,金水区,普通住宅,82.5,4,2,2,12,26,2024,0,东北,豪华装修,1080705,13099,有,无,是,2025-02-12
深圳,南山区,别墅,340.5,4,4,2,21,24,2007,17,东南,毛坯,32513480,95487,有,无,是,2025-03-18
天津,红桥区,公寓,51.1,2,1,2,29,34,2006,18,北,豪华装修,1017879,19919,有,有,是,2025-08-20
杭州,余杭区,写字楼,203.4,0,2,3,24,28,1993,31,东北,豪华装修,5091226,25031,有,有,是,2025-04-02
郑州,管城区,商住两用,171.1,4,1,1,9,30,2023,1,西南,毛坯,1723007,10070,有,有,否,2025-03-15
苏州,高新区,公寓,60.1,1,1,1,11,26,2024,0,南,豪华装修,1508055,25092,有,有,否,2025-02-15
南京,雨花台区,商住两用,181.7,4,2,2,7,16,1999,25,西南,简装修,4331956,23841,有,有,否,2025-08-08
武汉,武昌区,别墅,234.4,3,4,5,24,30,1993,31,东北,简装修,3774798,16104,有,无,否,2025-05-02
长沙,天心区,别墅,228.3,4,3,3,1,8,1998,26,东北,毛坯,2666491,11680,有,有,否,2025-04-27
广州,天河区,商住两用,66.5,3,2,2,26,26,1990,34,东北,精装修,2614859,39321,有,无,否,2024-12-26
长沙,芙蓉区,普通住宅,103.1,3,2,1,27,27,1992,32,东北,简装修,969033,9399,有,无,否,2025-06-25
重庆,南岸区,写字楼,270.5,0,1,3,22,33,2008,16,西南,毛坯,1693013,6259,有,无,否,2024-11-22
青岛,市北区,别墅,377.9,3,3,3,9,10,2023,1,南,精装修,10691852,28293,有,有,否,2025-03-30
北京,海淀区,普通住宅,61.9,2,2,2,2,23,2022,2,东南,毛坯,5077992,82035,有,有,否,2025-01-23
广州,白云区,写字楼,197.7,0,2,2,3,4,1993,31,东北,毛坯,4091597,20696,有,有,是,2025-05-26
杭州,西湖区,普通住宅,191.4,4,2,2,16,29,2008,16,东北,毛坯,5033136,26296,有,有,是,2024-12-31
天津,红桥区,写字楼,252.9,0,1,1,1,1,1997,27,东北,毛坯,2742122,10843,有,有,是,2025-09-16
长沙,芙蓉区,写字楼,100.1,0,2,2,29,30,2023,1,西北,毛坯,914298,9134,有,有,否,2024-12-02
大连,中山区,普通住宅,71.7,3,1,2,34,35,2024,0,西南,毛坯,874627,12198,有,无,是,2025-10-02
武汉,武昌区,别墅,447.3,6,4,5,31,34,2013,11,西北,精装修,7592899,16975,有,有,否,2025-08-17
北京,海淀区,别墅,407.6,3,4,4,31,32,2021,3,东南,毛坯,50386917,123619,有,无,是,2025-04-06
长沙,望城区,公寓,72.9,2,1,2,4,12,2013,11,南,毛坯,620203,8508,有,无,否,2025-03-25
长沙,岳麓区,商住两用,65.0,3,2,3,10,13,1992,32,北,豪华装修,808050,12432,有,有,否,2025-05-06
青岛,李沧区,公寓,58.5,2,1,1,14,21,2004,20,西,毛坯,669984,11453,有,有,否,2025-09-26
上海,黄浦区,商住两用,188.0,3,1,2,9,24,2021,3,东北,豪华装修,17116395,91045,有,有,是,2025-04-30
西安,莲湖区,公寓,32.5,2,1,1,31,32,2008,16,东北,毛坯,239386,7366,有,无,是,2025-09-13
重庆,渝中区,写字楼,64.6,0,2,2,2,13,2019,5,西北,豪华装修,633238,9802,有,有,否,2025-09-13
杭州,下城区,普通住宅,170.4,3,2,3,23,33,1994,30,西,简装修,4434158,26022,有,无,是,2025-09-29
郑州,金水区,商住两用,196.8,3,1,1,1,23,1993,31,西北,毛坯,1406350,7146,有,有,否,2025-08-30
北京,朝阳区,商住两用,158.9,3,2,1,13,23,2008,16,东北,豪华装修,13243613,83346,有,无,否,2025-07-01
广州,天河区,写字楼,204.3,0,1,3,34,35,1992,32,南,豪华装修,8244050,40353,有,无,否,2025-03-03
上海,虹口区,写字楼,188.0,0,2,1,16,32,1993,31,东北,豪华装修,9146233,48650,有,无,否,2025-11-03
深圳,宝安区,公寓,62.6,1,1,2,22,22,2000,24,北,简装修,2197014,35096,有,有,是,2025-06-29
深圳,龙岗区,普通住宅,105.2,4,2,3,5,13,2018,6,东北,简装修,5236270,49774,有,无,否,2025-05-18
南京,栖霞区,商住两用,117.2,3,1,1,26,31,2007,17,东,简装修,2927292,24977,有,无,是,2025-11-11
重庆,江北区,商住两用,116.8,2,1,1,26,30,2003,21,西,豪华装修,1087816,9313,有,无,是,2025-08-19
南京,玄武区,普通住宅,118.9,2,1,3,9,23,1998,26,西南,豪华装修,3461842,29116,有,有,否,2025-03-07
杭州,江干区,普通住宅,160.6,2,1,2,30,35,1991,33,南,简装修,4722284,29404,有,无,是,2025-03-09
深圳,罗湖区,写字楼,142.3,0,2,2,27,32,1994,30,东北,毛坯,5058119,35545,有,无,是,2025-08-17
南京,建邺区,公寓,66.4,2,1,1,10,25,2016,8,西,豪华装修,1766829,26609,有,有,否,2025-01-02
大连,旅顺口区,普通住宅,94.2,2,2,1,30,31,2004,20,西南,毛坯,1054931,11199,有,有,否,2025-09-09
长沙,开福区,普通住宅,147.1,2,2,1,20,23,1997,27,东,精装修,1575643,10711,有,无,否,2025-11-12
天津,河东区,写字楼,110.7,0,1,1,2,28,2011,13,东,简装修,1525253,13778,有,有,是,2024-12-01
广州,白云区,写字楼,238.4,0,2,3,22,23,2002,22,北,简装修,5649067,23696,有,无,是,2025-04-10
天津,和平区,公寓,30.8,1,1,1,14,28,1993,31,南,精装修,514550,16706,有,无,是,2025-05-27
西安,雁塔区,写字楼,242.4,0,2,3,17,30,1990,34,东南,豪华装修,2054868,8477,有,有,否,2025-04-12
武汉,江岸区,公寓,35.3,1,1,2,8,26,2004,20,北,精装修,431446,12222,有,无,否,2025-04-25
广州,白云区,普通住宅,141.5,4,1,3,35,35,2003,21,西北,精装修,4490174,31733,有,有,是,2025-09-27
武汉,江汉区,普通住宅,103.5,4,2,2,15,33,2021,3,西,精装修,1662982,16067,有,无,是,2025-09-18
上海,长宁区,别墅,364.1,4,3,3,17,30,1996,28,西,豪华装修,30726185,84389,有,无,否,2024-11-27
深圳,龙岗区,写字楼,159.1,0,2,2,3,4,1990,34,东,精装修,5985720,37622,有,无,是,2025-05-28
武汉,江岸区,商住两用,116.0,2,2,1,33,33,1992,32,东南,精装修,1290643,11126,有,有,是,2025-03-22
青岛,崂山区,商住两用,61.4,3,2,1,30,33,2022,2,北,豪华装修,1284785,20925,有,无,否,2025-08-15
深圳,宝安区,商住两用,117.9,2,2,1,33,33,2006,18,西北,豪华装修,6448254,54693,有,无,否,2025-10-02
郑州,中原区,商住两用,193.8,3,1,2,5,30,2009,15,南,豪华装修,2275283,11740,有,有,否,2025-06-17
郑州,管城区,商住两用,116.8,2,2,1,13,34,1993,31,北,精装修,1006895,8621,有,有,否,2025-10-16
上海,黄浦区,写字楼,94.1,0,2,2,13,15,1993,31,东北,豪华装修,5241859,55705,有,有,否,2025-09-07
长沙,雨花区,别墅,255.5,4,4,3,25,25,2014,10,南,精装修,4547927,17800,有,无,是,2025-06-04
广州,越秀区,公寓,75.4,1,1,2,16,31,2010,14,北,毛坯,2450401,32499,有,无,是,2025-10-19
上海,徐汇区,别墅,176.9,3,3,4,19,32,1991,33,北,豪华装修,16690878,94352,有,有,否,2025-07-28
长沙,开福区,写字楼,169.5,0,2,3,13,14,2021,3,东南,毛坯,1604787,9468,有,无,否,2025-11-10
苏州,吴江区,普通住宅,153.8,2,1,2,7,15,1999,25,北,精装修,2822032,18349,有,无,否,2025-03-04
广州,天河区,写字楼,176.3,0,2,2,7,24,2019,5,东,精装修,7757891,44004,有,无,是,2025-09-08
上海,静安区,公寓,51.4,2,1,2,8,10,2023,1,北,简装修,3540392,68879,有,有,是,2025-03-16
青岛,市南区,普通住宅,199.3,2,1,1,19,29,1999,25,西,毛坯,2446780,12277,有,无,是,2025-08-14
南京,鼓楼区,写字楼,239.2,0,2,2,14,34,2018,6,北,精装修,5130834,21450,有,无,否,2025-09-04
深圳,罗湖区,商住两用,137.6,4,2,3,32,32,2018,6,北,精装修,8188201,59507,有,无,是,2024-11-20
成都,成华区,写字楼,225.2,0,1,2,6,15,2011,13,西,简装修,2586542,11486,有,有,是,2025-06-23
天津,和平区,写字楼,211.8,0,1,1,23,29,1997,27,东南,简装修,2480492,11711,有,无,否,2025-09-27
郑州,惠济区,商住两用,166.7,4,2,2,12,13,2020,4,南,精装修,2130821,12782,有,无,否,2025-02-16
长沙,芙蓉区,普通住宅,97.7,3,2,2,26,35,1993,31,西,简装修,829250,8488,有,无,否,2025-09-09
广州,越秀区,商住两用,191.5,3,2,3,12,22,2001,23,东,精装修,7023475,36676,有,无,否,2025-02-17
郑州,中原区,公寓,69.8,2,1,2,7,20,2010,14,西南,简装修,621390,8902,有,有,否,2025-11-06
重庆,九龙坡区,别墅,327.7,3,3,2,35,35,2024,0,西,毛坯,4372987,13344,有,有,是,2025-05-14
深圳,南山区,商住两用,69.8,2,2,3,35,35,1993,31,北,豪华装修,4385470,62829,有,无,是,2025-04-02
西安,碑林区,普通住宅,186.4,2,2,1,28,34,1990,34,北,简装修,1661295,8913,有,有,是,2025-01-20
广州,番禺区,商住两用,186.1,3,2,1,33,35,2006,18,西,豪华装修,7797131,41898,有,无,是,2025-06-14
广州,海珠区,商住两用,190.1,2,2,3,19,19,2003,21,东南,毛坯,5204250,27376,有,有,否,2024-12-09
杭州,拱墅区,公寓,50.8,2,1,2,3,21,1999,25,东北,精装修,1198865,23600,有,有,否,2025-08-05
长沙,开福区,别墅,437.0,3,4,3,3,13,2013,11,西,毛坯,6319132,14460,有,有,否,2025-07-10
长沙,望城区,商住两用,175.1,3,2,2,16,35,2007,17,东北,精装修,2118824,12101,有,无,是,2025-02-05
上海,浦东新区,商住两用,184.0,4,1,1,10,21,2012,12,东南,简装修,12245631,66552,有,无,是,2025-01-30
天津,河东区,别墅,380.4,5,4,2,18,31,2007,17,东南,简装修,11242628,29555,有,无,是,2025-06-24
郑州,中原区,公寓,36.0,1,1,2,31,31,2010,14,西北,精装修,370401,10289,有,有,是,2025-09-13
北京,朝阳区,普通住宅,163.0,3,2,2,2,12,2001,23,东,毛坯,9373395,57505,有,有,是,2025-06-27
郑州,中原区,别墅,464.9,3,4,5,22,22,2015,9,西南,精装修,8572440,18439,有,有,否,2025-10-13
武汉,江岸区,别墅,236.5,4,3,3,23,35,2010,14,北,豪华装修,4535349,19177,有,有,是,2025-05-26
大连,旅顺口区,写字楼,159.7,0,1,1,7,26,2003,21,东北,精装修,1358250,8505,有,有,否,2024-12-05
重庆,渝中区,公寓,51.4,1,1,2,9,22,2009,15,东南,毛坯,363654,7075,有,无,否,2025-05-21
武汉,江岸区,公寓,61.5,2,1,2,19,19,1991,33,南,精装修,711027,11561,有,有,是,2025-05-05
大连,西岗区,别墅,461.6,7,3,4,18,33,2008,16,西南,毛坯,8132262,17618,有,无,否,2025-05-28
天津,河西区,商住两用,79.8,2,2,2,17,23,1998,26,北,豪华装修,1543231,19339,有,无,是,2025-10-25
南京,鼓楼区,公寓,56.5,2,1,2,19,22,2016,8,东南,豪华装修,1731249,30642,有,有,是,2025-06-28
苏州,姑苏区,商住两用,168.4,3,1,1,23,24,2024,0,北,豪华装修,4193827,24904,有,有,是,2025-07-12
武汉,武昌区,公寓,74.1,1,1,1,5,7,2014,10,西北,豪华装修,994649,13423,有,无,否,2025-11-10
郑州,金水区,普通住宅,130.8,3,1,2,30,33,1991,33,东北,简装修,1194761,9134,有,无,是,2024-11-30
天津,河北区,写字楼,73.9,0,1,1,22,28,1996,28,东,毛坯,841221,11383,有,有,是,2025-03-19
长沙,天心区,别墅,160.0,5,4,5,28,33,2019,5,西北,豪华装修,3265951,20412,有,有,是,2025-02-17
重庆,江北区,普通住宅,79.5,3,2,3,25,26,2005,19,西北,精装修,799088,10051,有,有,否,2024-12-03
成都,金牛区,商住两用,172.6,3,2,3,1,24,2012,12,北,豪华装修,2939455,17030,有,无,是,2025-02-27
长沙,岳麓区,别墅,195.5,3,2,5,14,26,1995,29,北,毛坯,2439523,12478,有,无,是,2025-02-24
